submission_id,nr_comments
101cjul,2
1044y9i,3
1059una,3
105atyp,7
106qvgl,1
10eis38,3
10geaks,3
10hr68j,5
10qclv,3
10ryi9a,5
10uewlk,1
10xpnk3,7
113t2i0,13
1159q9j,5
11i0vyl,3
11qnwmo,3
11s2m2a,1
11trb7k,3
11uyrog,5
11voiue,5
11vznvk,3
11y28ct,1
11z41ru,1
123kj90,7
1276zsp,5
127u9tx,5
12i7ls2,6
12l8bvu,7
12rfxbz,3
12u2kx1,2
12xfmut,1
12xy83o,2
12y3r79,2
133887a,1
1352il8,6
137mqnn,2
13b035d,2
13dw3sm,3
13ezqtb,3
13gi7p9,4
13lxj9y,2
13m381p,4
13nd0dz,2
13vo6lm,5
13zoahl,3
141f6dr,3
142nwat,5
142yex9,5
145fp7k,1
145tg12,2
1460fw3,3
147c9gx,5
14b948g,4
14kjpqf,3
14lpovi,4
14ojaq9,3
14r5kt,2
14s4sh,1
14tbye,2
14thdy,2
14v6gvp,4
14v7yj,2
14xqege,3
14y8cjm,6
1515rev,2
152y4f8,2
153bk5w,1
155mzzu,4
155tmdn,2
159ri13,4
159yshq,3
15aasrd,5
15d9tm5,4
15do0ao,1
15eiuoy,2
15fxxzj,3
15g3cs,2
15h1zo,6
15hpww,3
15hriq,7
15hvwb,4
15iha7s,1
15oghv8,2
15onbm,2
15s88m,1
15v8h5,1
15xtppg,2
15zze8c,2
16ee77o,1
16mfxsc,10
16n0zlz,1
16sme1,3
16x9hl6,2
16z2ri7,4
16zyyoo,6
16zzn9m,1
1701dnk,1
1701tow,5
170yns8,1
172bede,5
172izxs,9
172lbbv,6
172n7xf,14
173flg2,5
173wl27,3
1744wwy,13
174wiog,25
175dked,12
175himr,14
175mgkf,4
175pc0r,12
175xr5e,16
176foc0,3
177ag86,12
177ar21,10
177co00,13
1781pub,6
178jfgx,4
1796b1j,11
179hx89,10
179ij0n,6
17a0esm,15
17a1nxk,15
17akqx,2
17b2lna,23
17ba9n9,11
17cezub,6
17cpava,5
17cs20p,5
17csl4g,6
17ctg6i,20
17ctocf,1
17dbk4m,14
17dpzxg,9
17e8q64,13
17evi0l,31
17eywzg,9
17f4aqi,9
17f4ul8,11
17f5bsz,7
17fd3h1,1
17fhc0w,8
17fmtjz,2
17fqp33,14
17frust,9
17frz2f,21
17g38bo,2
17g5154,26
17g605m,10
17g8gom,17
17gahve,10
17gbktk,13
17gdzdv,18
17gfb9f,4
17gfzlg,1
17grlea,13
17gz38e,27
17hhnfa,22
17hxhlq,13
17ijxb5,8
17ijyrp,5
17ipehu,10
17iv2ye,25
17ix0nx,13
17j4jgo,50
17j5nwq,10
17jipbk,9
17jksrx,10
17jxi9y,4
17k241o,14
17k7fym,33
17k9d97,17
17klvo0,19
17kt5j6,11
17kx718,17
17kyywz,4
17l2lkr,9
17lc6sw,7
17lgah8,7
17log7v,18
17m4wr5,8
17m7dwa,16
17m8829,6
17m8dlp,18
17mh0dk,7
17mq35x,14
17muw80,19
17mwgzs,5
17mx29f,7
17n22it,27
17n23c3,26
17n2flu,11
17n5bve,8
17n8reg,12
17n8uar,17
17nncml,14
17nvwxi,13
17nxnb8,14
17o7fq9,5
17oe1as,1
17ohmdu,6
17opo7v,11
17or5s7,5
17osr0r,11
17ow87y,3
17pad8c,19
17pdkgi,17
17pf63c,17
17phvl2,26
17pt64f,21
17ptmn7,21
17px1t,1
17q12gc,16
17q5vo,1
17qdle3,26
17qlew3,10
17qmgsx,22
17qn5es,21
17riy7b,22
17ru3ft,30
17sfm96,17
17sfzf1,8
17siaqd,10
17sjtqk,6
17suu89,6
17suy5a,19
17t0ldh,12
17twic6,6
17u4az6,3
17v83gg,21
17vlky9,15
17vqbvb,24
17vvhw9,15
17w3k8s,33
